serial,temp,status,genre,network,theme,runtime,tvdb_id
Samurai X,30,Ended,Animation,Fuji TV,"140 years ago in Kyoto,with the coming of the 'Black Ships', there arose a warrior called Battousai. Felling men with his blood stained blade, he closed the turbulent Bakumatsu era and opened the Meiji era and vanished to become a legend. In the 11th year of Meiji, in  Tokyo this tale begins. It is the story of a wanderer named Kenshin, who used to be called Battousai during the Japanese civil war, and is now trying to make up for his past and all his murders by helping those in trouble with his reverse-blade sword and by using his powerful technique called Hiten-Mitsurugi Ryu.",21.0,70863
The IT Crowd,30,Ended,Comedy,Channel 4,"At the UK company Reynholm Industries, their corporate high-rise towers are full of beautiful happy people with one success story after another. Well, except for the employees that work in the basement - the IT department. While their colleagues work in fantastic surroundings, Jen, Roy and Moss must work below ground in the dark and horrible basement, struggling to make it into normal society. The IT Crowd is a playful and somewhat surreal look at what it's really like to be the underclass of every company - the IT Department.",23.0,79216
Mr Bean,30,Ended,Comedy,ITV,"Mr. Bean is a comedy show about a man whose whole life is one funny situation after another. He hardly talks, but words are not needed. Everything he does is funny. From playing golf, going to the dentist, and going to church. Mr. Bean is a grown man, but he acts like a child. He has a stuffed bear named Teddy that he carries around with him all the time. This show is full of laugh after laugh!",25.0,76316
Inu Yasha,30,Ended,Animation,NTV,"Kagome Higurashi is a modern day young girl who lives with her family by the old Higure shrine. Unbeknownst to Kagome, she is the reincarnation of priestess Kikyo and possesses the 'Jewel of Four Souls' (the Shikon jewel). One ill-fated day, Kagome locates an ancient well near her home and is abruptly transported through the well and into a feudal Japan, inhabited by demons. There, she encounters Inuyasha, son of a powerful demon father and a human mother, who is pinned to a tree by an enchanted arrow.",21.0,71361
Tom And Jerry,10,Ended,Animation,CBS,It is a fun cat-n-mouse chase between 'Tom' cat & 'Jerry' mouse.,7.0,72860
How Its Made,30,Ended,Science,Science Channel,"Have you ever wondered how the products you use every day are made? How It's Made leads you through the process of how everyday products, such as apple juice, skateboards, engines, contact lenses, and many more objects are manufactured.",20.0,79485
Swat Kats The Radical Squadron,30,Ended,Animation,TBC,"Swat Kats revolves around Megakat City. Its two main characters are Jake Clawson (Razor) and Chance Furlong (T-bone), two pilots who were thrown out of the enforcers due to a mishap and forced to work as junkyard auto mechanics to repay the damages they caused. They decided to make amends. Jake designed the Turbokat and became the vigilantes known as the SWAT Kats. Razor was the weapons system officer and T-bone was the pilot. Together they protected Megakat City from many foes like Dark Kat, The Pastmaster, Mac and Molly (The Metallikats), Dr. Viper and Hard Drive.",21.0,70545
Numb3rs,60,Ended,Thriller,CBS,"We all use math every day... Inspired by actual cases and experiences, Numb3rs depicts the confluence of police work and mathematics in solving crime. An FBI agent recruits his mathematical genius brother to help solve a wide range of challenging crimes in Los Angeles from a very different perspective",42.0,73918
Gitanjali,30,Ended,Musical,DD National,,21.0,0
Dexter,60,Ended,Thriller,Showtime,"Based on Jeff Lindsay's novels 'Darkly Dreaming Dexter' and 'Dearly Devoted Dexter', this crime thriller follows Dexter Morgan, a forensic blood spatter expert for the Miami Metro Police Department. Thanks to a code instilled in him by his foster father, Harry, he hunts down people who have escaped justice and makes sure they don't get away with a crime again.",49.0,79349
The Newsroom,60,Ended,Drama,HBO,"It is an drama series created and primarily written by Aaron Sorkin. The series chronicles the behind-the-scenes events at the fictional Atlantis Cable News (ACN) channel. It features an ensemble cast including Jeff Daniels as anchor Will McAvoy, who, together with his staff set out to put on a news show 'in the face of corporate and commercial obstacles and their own personal entanglements'. Other cast members include Emily Mortimer, John Gallagher, Alison Pill, Thomas Sadoski, Dev Patel, Olivia Munn and Sam Waterston.",56.0,256227
DreamWorks Dragons,30,Ended,Animation,Cartoon Network/Netflix,"Picking up where the critically-acclaimed feature film, How to Train Your Dragon, left off, this weekly animated series follows the continuing adventures of Hiccup and his dragon Toothless on the island of Berk, along with the band of dragon trainers, all of whom now have dragons of their own!",22.0,261202
Breaking Bad,60,Ended,Drama,AMC,"Walter White, a struggling high school chemistry teacher, is diagnosed with advanced lung cancer. He turns to a life of crime, producing and selling methamphetamine accompanied by a former student, Jesse Pinkman, with the aim of securing his family's financial future before he dies. ",47.0,81189
Marvels Agents Of SHIELD,60,Continuing,Thriller,ABC,"After the events that took place in The Avengers, Agent Phil Coulson puts together a small team of S.H.I.E.L.D. agents to handle strange new cases. Each case will test the team in cooperation and ingenuity as they try to work together figuring out newly emerging superhuman individuals in the world. ",42.0,263365
Blackadder,30,Ended,Comedy,BBC One,"Through four series and a few specials, Edmund Blackadder and his greasy sidekick Baldrick conjure up cunning plans as Edmund tries to take advantage of desperate times. These situation tragedies had obvious parallels from the Dark Ages to Elizabethan times, the rule of mad George III, and The Great War.",29.0,76736
House Of Cards,60,Ended,Drama,Netflix,"House of Cards is an American political drama series developed and produced by Beau Willimon. It is an adaptation of a previous BBC miniseries of the same name which is based on the novel by Michael Dobbs. Set in present day Washington, D.C., House of Cards is the story of Frank Underwood (Kevin Spacey), a Democrat from South Carolina's 5th congressional district and the House Majority Whip, who, after getting passed over for promotion to Secretary of State, decides to exact his revenge on those who betrayed him. The series also stars Robin Wright, Kate Mara & Corey Stoll in lead roles. ",47.0,262980
Special Squad,60,Ended,Thriller,Star One,,44.0,0
Firefly,60,Ended,Thriller,FOX,"In the far-distant future, Captain Malcolm 'Mal' Reynolds is a renegade former brown-coat sergeant, now turned smuggler & rogue, who is the commander of a small spacecraft, with a loyal hand-picked crew made up of the first mate, Zoe Warren; the pilot Hoban 'Wash' Washburn; the gung-ho grunt Jayne Cobb; the engineer Kaylee Frye; the fugitives Dr. Simon Tam and his psychic sister River. Together, they travel the far reaches of space in search of food, money, and anything to live on.",45.0,78874
Veep,30,Continuing,Comedy,HBO,"A look into American politics, revolving around former Senator Selina Meyer who finds being Vice President of the United States is nothing like she expected and everything everyone ever warned her about.",28.0,237831
Sports Night,30,Ended,Drama,ABC,"Sports Night ran nearly two full seasons on the ABC network in the US during the '98-99 and '99-00 seasons. Smart, fast-paced, witty and featuring a fine ensemble cast, Sports Night struggled in the ratings from the start, particularly during its second season, when it was routinely pre-empted and moved from night to night. Art imitated life imitating art, as the show took on a consultant, was hired to 'tweak' the ratings. The show within a show continued to falter, amidst rumors of the imminent sale of its network and the subsequent gutting of its staff, until it, like its parent Sports Night, simply disappeared from the schedule. ",21.0,71969
Veronica Mars,60,Ended,Thriller,The CW,"In the wealthy, seaside community of Neptune, California, the rich and powerful make the rules. Unfortunately for them, there's Veronica Mars, a smart, fearless 17-year-old apprentice private investigator. During the day, Veronica must negotiate high school like any average teenage girl. But at night, she helps with her father's struggling private investigator business. ",42.0,73730
Marvels Agent Carter,60,Ended,Thriller,ABC,"It's 1946, and peace has dealt Peggy Carter a serious blow as she finds herself marginalized when the men return home from fighting abroad. Working for the covert SSR (Strategic Scientific Reserve), Peggy must balance doing administrative work and going on secret missions for Howard Stark all while trying to navigate life as a single woman in America, in the wake of losing the love of her life (Steve Rogers). ",42.0,281485
Marvels Daredevil,60,Ended,Thriller,Netflix,"Blinded as a young boy but imbued with extraordinary senses, Matt Murdock fights against injustice by day as a lawyer, and by night as the Super Hero 'Daredevil' in modern day Hell's Kitchen, New York City.",51.0,281662
The Flash,60,Continuing,Thriller,The CW,"After a particle accelerator causes a freak storm, CSI Investigator Barry Allen is struck by lightning and falls into a coma. Months later he awakens with the power of super speed, granting him the ability to move through Central City like an unseen guardian angel. Though initially excited by his newfound powers, Barry is shocked to discover he is not the only 'meta-human' who was created in the wake of the accelerator explosion and not everyone is using their new powers for good. Barry partners with S.T.A.R. Labs and dedicates his life to protect the innocent. For now, only a few close friends and associates know that Barry is literally the fastest man alive, but it won't be long before the world learns what Barry Allen has become... The Flash.",42.0,279121
Elementary,60,Continuing,Thriller,ABC,"Following his fall from grace in London and a stint in rehab, eccentric Sherlock escapes to Manhattan where his wealthy father forces him to live with his worst nightmare, a sober companion, Dr. Watson. A successful surgeon until she lost a patient and her license three years ago, Watson views her current job as another opportunity to help people, as well as paying a penance. Holmes resumes his work as a police consultant in New York City and Watson has no choice but to accompany her irascible new charge on his jobs. But Sherlock finds her medical background helpful, and Watson realizes she has a knack for playing investigator. With the mischievous Sherlock Holmes now running free in New York solving crimes, it's simple deduction that he's going to need someone to keep him grounded, and it's elementary that it's a job for Watson.",42.0,255316
True Detective,60,Ended,Thriller,HBO,"An anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law. ",58.0,270633
The West Wing,60,Ended,Drama,NBC,The West Wing provides a glimpse into presidential politics in the nation's capital as it tells the stories of the members of a fictional presidential administration. These interesting characters have humor and dedication that touches the heart while the politics that they discuss touch on everyday life.,43.0,72521
Dig,60,Ended,Thriller,USA Network,"When FBI Agent Peter Connelly, recently stationed in Jerusalem, begins investigating the murder of a young American, he realizes that heâ€™s uncovered an ancient international conspiracy that threatens to change the course of human history. Certain that the dangerous prophecy is nearing fruition, Peter must race against the clock to unravel its mystery. From a remote farm in Norway, to an enigmatic compound in New Mexico, to the serpentine tunnels of Jerusalem, he searches for the truth, the revelation of which will shake the world's beliefs to its very core.",47.0,275278
Mr Robot,60,Ended,Drama,USA Network,"A contemporary and culturally resonant drama about a young programmer, Elliot, who suffers from a debilitating anti-social disorder and decides that he can only connect to people by hacking them. He wields his skills as a weapon to protect the people that he cares about. Elliot will find himself in the intersection between a cybersecurity firm he works for and the underworld organizations that are recruiting him to bring down corporate America. Christian Slater stars in the title role of Mr. Robot, a mysterious anarchist who recruits Elliot into an underground hacker group.",59.0,289590
Sense8,60,Ended,Thriller,Netflix,"One gunshot, one death, one moment out of time that irrevocably links eight minds in disparate parts of the world, putting them in each other's lives, each other's secrets, and in terrible danger. Ordinary people suddenly reborn as 'Sensates'.",49.0,268156
Coupling,30,Ended,Comedy,BBC,"On average, men and women think about sex every six seconds. Shorten that to every second, and you've got Coupling. This series centers around Susan and Steve (who are a couple), and Sally and Patrick join the gang as friends of Susan (and then Steve), while Steve pulls in his best friend Jeff and his crazy ex Jane.",28.0,78131
Game Of Thrones,60,Continuing,Drama,HBO,"Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and the icy horrors beyond.",52.0,121361
Arrow,60,Continuing,Thriller,The CW,"Oliver Queen and his father are lost at sea when their luxury yacht sinks. His father doesn't survive. Oliver survives on an uncharted island for five years learning to fight, but also learning about his father's corruption and unscrupulous business dealings. He returns to civilization a changed man, determined to put things right. He disguises himself with the hood of one of his mysterious island mentors, arms himself with a bow and sets about hunting down the men and women who have corrupted his city.",41.0,257655
Studio 60 On The Sunset Strip,60,Ended,Drama,NBC,"Aaron Sorkin, the mastermind behind 'West Wing' and 'Sports Night' brings NBC's next great drama, Studio 60 on the Sunset Strip. Featuring an all-star cast in front of and behind the camera, such as 'Friends' alum Matthew Perry, 'West Wing' alum Bradley Whitford, plus the talented Amanda Peet, D.L. Hughley, Richard Schiff and veteran Ed Asner. Sorkin, who will handle much of the writing duties, makes sure this vehicle promises to be the fall's most buzzed about new drama. So come take a fascinating look behind the scenes of Studio 60, a fictional sketch-comedy series on the NBS broadcast network. Problem is the series seems to be going down the tube fast. Everyone involved with the late-night dud seems to have one problem or another, including the current Executive Producer, who just had an on-air mental meltdown, and time is running out fast. Enter the networks Chairman of the Board, a new president looking to make her mark on the net. Her answer is move is to bring in a pair of fresh-faced writers to try and save the series. Will it work?",41.0,79343
Last Week Tonight With John Oliver,30,Continuing,Comedy,HBO,"Last Week Tonight with John Oliver is an American late-night talk and news satire television program. L.W.T draws its comedy and satire from recent news stories, political figures, media organizations, pop culture and often aspects of the show itself.",30.0,278518
The X-Files,60,Ended,Thriller,FOX,"The X-Files focused on the exploits of FBI Agents Fox Mulder, Dana Scully, John Doggett and Monica Reyes and their investigations into the paranormal. From genetic mutants and killer insects to a global conspiracy concerning the colonization of Earth by an alien species, this mind-boggling, humorous and occasionally frightening series created by Chris Carter has been one of the world's most popular sci-fi/drama shows since its humble beginnings in 1993.",44.0,77398
The Last Man On Earth,60,Continuing,Comedy,FOX,"The year is 2022, and after an unlikely event, only one man is left on earth: Phil Miller, who used to be just an average guy who loved his family and hated his job at the bank. Now, in his RV, Phil searches the country for other survivors. He has traveled to every city, every town and every outpost in the United States, Mexico and Canada, and has found no one, which leads him to the painful realization that he is almost certainly the last living being on the face of the earth.",21.0,281622
Marvels Jessica Jones,60,Ended,Thriller,Netflix,"Since her short-lived stint as a Super Hero ended in tragedy, Jessica Jones has been rebuilding her personal life and career as a hot-tempered, sardonic, badass private detective in Hell's Kitchen, New York City. Plagued by self-loathing, and a wicked case of PTSD, Jessica battles demons from within and without, using her extraordinary abilities as an unlikely champion for those in need... especially if they're willing to cut her a check.",49.0,284190
Supergirl,60,Ended,Thriller,CBS,"Twenty-four-year-old Kara Zor-El, who was taken in by the Danvers family when she was 13 after being sent away from Krypton, must learn to embrace her powers after previously hiding them. The Danvers teach her to be careful with her powers, until she has to reveal them during an unexpected disaster, setting her on her journey of heroism.",42.0,295759
Legends Of The Hidden Temple,30,Ended,Game,Nickelodeon,"Legends of the Hidden Temple is an action-adventure game show for children. The show centers around a Temple that is filled with lost treasures protected by mysterious Mayan Temple Guards. Kirk Fogg hosts and serves as the teams' guide. Six teams of two children (one boy and one girl) compete to retrieve one of the historical artifacts in the Temple by performing physical stunts and answering questions based on history, mythology, and geography. After three elimination rounds, only one team remains, who then earns the right to go through the Temple to retrieve the artifact within three minutes and win a grand prize.",24.0,71335
Vixen,5,Continuing,Animation,CW Seed,"The series follows Mari McCabe aka Vixen, a superhero with the skill to adopt the abilities of animals. The TV show will be set in the same universe as CW shows The Flash and Arrow.",5.0,298305
Happy Endings,30,Ended,Comedy,ABC,"This Chicago-set sitcom follows the intertwined lives of six young urbanites trying to learn the ropes of adulthood. Through breakups and whatever other curve-balls life throws them, the pals stick together.",21.0,167571
The Fall,60,Ended,Thriller,RTE One,"Detective Superintendent Stella Gibson is brought in from the London Metropolitan Police to help catch the killer when a murder in Belfast remains unsolved. As Gibson travels across from London, we are introduced to the murderer himself; Paul Spector.",59.0,258107
Stranger Things,60,Ended,Thriller,Netflix,"When a young boy disappears, his mother, his friends, and the local sheriff must confront terrifying forces in order to find him.",47.0,305288
The Night Manager,60,Ended,Thriller,BBC One,"The contemporary interpretation of le Carre’s espionage drama — and the first TV adaptation of a le Carre novel in more than two decades — follows a former British soldier (Hiddelston) as he navigates the shadowy recesses of Whitehall and Washington where an alliance operates between the intelligence community and the secret arms trade, infiltrating the inner circle of arms dealer (Laurie).",56.0,290508
And Then There Were None,60,Ended,Thriller,BBC,"Ten strangers, drawn away from their normal lives to an isolated rock off the Devon coast. But as the mismatched group waits for the arrival of the hosts -- the improbably named Mr. and Mrs. U.N. Owen -- the weather sours and they find themselves cut off from civilization. Very soon, the guests, each struggling with their conscience, will start to die -- one by one, according to the rules of the nursery rhyme 'Ten Little Soldier Boys' -- a rhyme that hangs in every room of the house and ends with the most terrifying words of all: '... and then there were none.",54.0,299855
Marvels Luke Cage,60,Ended,Thriller,Netflix,"After a sabotaged experiment leaves him with super strength and unbreakable skin, Luke Cage becomes a fugitive trying to rebuild his life in modern day Harlem, New York City. But he is soon pulled out of the shadows and must fight a battle for the heart of his city – forcing him to confront a past he had tried to bury.",51.0,304219
Black Mirror,60,Ended,Drama,Netflix,A television anthology series that shows the dark side of life and technology.,56.0,253463
Quantico,60,Continuing,Thriller,ABC,"This drama from executive producers Josh Safran and Mark Gordon explores the lives of young FBI recruits who have come to the Quantico base in Virginia for 21 weeks of training to become special agents. The recruits have been thoroughly vetted and are considered the best and the brightest -- but each one possesses secrets, including hidden reasons for enlisting. One recruit is harboring the biggest secret of all, and ends up being suspected of masterminding the biggest and most deadly attack on U.S. soil since 9/11.",42.0,295515
Maigret,90,Continuing,Thriller,ITV,"Set in the 1950s in Paris, Maigret is a detective in the Flying Squad and solves some of the most mysterious crimes around.",87.0,309212
Westworld,60,Ended,Drama,HBO,"Westworld is a dark odyssey about the dawn of artificial consciousness and the evolution of sin. Set at the intersection of the near future and the reimagined past, it explores a world in which every human appetite, no matter how noble or depraved, can be indulged.",59.0,296762
Shrimaan Shrimati,30,Ended,Comedy,DD National,,21.0,0
Marvels Iron Fist,60,Ended,Thriller,Netflix,"Returning to New York City after being missing for years, Daniel Rand fights against the criminal element corrupting New York City with his incredible kung-fu mastery and ability to summon the awesome power of the fiery Iron Fist",52.0,317953
Designated Survivor,60,Continuing,Thriller,ABC,"Tom Kirkman, a low-level cabinet member is suddenly appointed President of the United States after a catastrophic attack during the State of the Union kills everyone above him in the Presidential line of succession.",0.0,311876
13 Reasons Why,60,Ended,Drama,Netflix,"Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life.",53.0,323168
Marvels The Defenders,60,Ended,Thriller,Netflix,"The Defenders follows Daredevil, Jessica Jones, Luke Cage and Iron Fist. A quartet of singular heroes with one common goal - to save New York City. This is the story of four solitary figures, burdened with their own personal challenges, who realize they just might be stronger when teamed together.",0.0,326490
Death Note,30,Ended,Animation,Hulu,"Light Yagami is an ace student with great prospects, who's bored out of his mind. One day he finds the ""Death Note"": a notebook from the realm of the Death Gods, with the power to kill people in any way he desires. With the Death Note in hand, Light decides to create his perfect world, without crime or criminals. However, when criminals start dropping dead one by one, the authorites send the legendary detective L to track down the killer, and a battle of wits, deception and logic ensues...",0.0,79481
